"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32104","TC-BKM — Student deletes a university from a list via the kebab menu delete-confirmation flow","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","50865","TC-APPL — Guardian with full access views Application Tracker for a linked student","chromium","2026-08-12","passed","2026-08-12","APPL — Application Tracker","","",""
"","40608","TC-AUTH — Password reset via email","chromium","2026-08-12","passed","2026-08-12","AUTH — Password Reset","","",""
"","71187","TC-STUL — Admin views all active students in Student List","chromium","2026-08-12","passed","2026-08-12","STUL — Student List","","",""
"","76613","TC-GRP — Counselor, Teacher, Guardian, and Student roles are denied access to the Groups module","chromium","2026-08-12","passed","2026-08-12","GRP — Groups","","",""
"","38708","TC-AUTH — Student (onboarded) logs in with email and password","chromium","2026-08-12","passed","2026-08-12","AUTH — Login and Logout","","",""
"","49603","TC-BKM — Student moves a university from the Applying list back to Shortlist or Longlist via the card kebab menu","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","34216","TC-AUTH — Admin logs in and lands on the dashboard","chromium","2026-08-12","passed","2026-08-12","AUTH — Login and Logout","","",""
"","32713","TC-APPL — Submitted section empty state shows the Saige image, message, and Search university button","chromium-da","2026-08-12","passed","2026-08-12","APPL — Direct Apply / UK DA","","",""
"","10882","TC-AUTH — Unauthenticated user is redirected to sign-in with return URL","chromium","2026-08-12","passed","2026-08-12","AUTH — Login and Logout","","",""
"","31530","TC-BKM — Student adds a university to the Applying list via the +Add button","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
"","40352","TC-GRDP — Guardian opens a linked student's left-nav icon and sees the sub-nav panel","chromium","2026-08-12","passed","2026-08-12","GRDP — Linked Students","","",""
"","25137","TC-BKM — Student moves a university from Longlist to Shortlist via the card kebab menu","chromium","2026-08-12","passed","2026-08-12","BKM — Bookmarks board","","",""
